country_code,country_name,lens1_ratio,lens1_corridor,phase1_combined_corridor,lens4_gini,lens4_climate_green_jobs_k,lens4_climate_carbon_displacement_k,lens4_climate_energy_cost_asymmetry,lens4_geopolitical_composite,lens4_compounding_shock_count,lens4_buffering_a_protection,lens4_buffering_b_adjacency,lens4_buffering_c_mode1_vulnerability,lens4_jurisdictional_buffering_squeeze_flag,lens4_corridor_modifier,lens5_polycrisis_cluster_score,lens5_demographic_load,lens5_ai_labour_load,lens5_capability_floor_breach_proxy,lens5_climate_adaptation_capacity,lens5_climate_physical_vulnerability,lens5_climate_net_position,lens5_climate_bucket,lens5_composite_drag_score,corridor_under_scenario_1,corridor_under_scenario_2a,corridor_under_scenario_2b,corridor_under_scenario_3,corridor_under_scenario_4a,corridor_under_scenario_4b,corridor_under_scenario_5,cascade_corridor,phase2_fragility_class,class_iv_reason,regime_classification,regime_aggregate_pct,regime_per_capita_pct,notes
LI,Liechtenstein,2.434,2,2,31.5,,,0.35,0.095,2,H,L,L,FALSE,0,0.3152,0.15,0.5477,FALSE,,0.5,,data_gap,0.3253,2,2,1,2,2,3,3,3,II,,post_growth_empirical,1.936,0.893,climate_shocks data gap; low_msc_salience_bucket
LT,Lithuania,2.869,2,2,35.3,-2.04,-34.74,0.45,0.84,4,H,M,L,FALSE,+1,0.5556,0.745,0.5021,FALSE,0.3771,0.4,-0.0229,net_neutral,0.5924,2,2,1,2,3,3,3,3,II,,growth_baseline,3.282,3.396,
LU,Luxembourg,1.907,2,2,30.6,4.48,0.23,0.4,0.364,3,H,H,L,FALSE,0,0.3516,0.2575,0.6199,TRUE,0.509,0.45,0.059,net_neutral,0.4083,1,1,1,2,2,2,3,3,II,,post_growth_empirical,1.936,-0.123,low_msc_salience_bucket
LV,Latvia,2.766,2,2,34.2,3.36,-9.6,0.45,0.872,3,H,M,L,FALSE,0,0.5782,0.745,0.4841,FALSE,0.3881,0.383,0.0051,net_neutral,0.5926,2,2,1,2,3,3,3,3,II,,growth_baseline,1.936,2.555,low_msc_salience_bucket
MK,North Macedonia,2.648,2,2,29.2,8.65,-92.66,0.3,0.335,1,L,L,L,FALSE,0,0.443,,0.4634,FALSE,0.0346,0.625,-0.5904,net_negative_capacity_side,0.5258,2,2,1,2,3,3,3,3,IV,candidate_partial_coverage; eea_vuln=0.62,growth_baseline,2.4,2.762,candidate-partial-coverage; demographic_load null; ai_load from L1 only; low_msc_salience_bucket
MT,Malta,2.91,2,2,30.8,3.69,0.5,0.35,0.262,3,H,M,L,FALSE,0,0.3634,0.745,0.5093,FALSE,0.5074,0.687,-0.1796,net_neutral,0.5483,2,2,1,2,3,3,3,3,II,,growth_baseline,6.809,3.759,low_msc_salience_bucket
NL,Netherlands,1.693,2,2,25.9,54.86,-30.16,0.7,0.479,3,H,H,H,TRUE,+1,0.5352,0.3219,0.5502,TRUE,0.6097,0.55,0.0597,net_neutral,0.4652,1,1,1,2,2,2,3,3,II,,growth_baseline,1.945,1.283,
NO,Norway,1.057,1,1,24.4,26.88,-8.32,0.65,0.36,3,H,H,H,TRUE,+1,0.4598,0.44,0.5287,FALSE,0.1075,0.333,-0.2255,net_negative_capacity_side,0.494,1,1,1,1,1,1,2,2,I,,post_growth_empirical,1.755,0.887,lens4_corridor_modifier patched 0→+1 per Bundle I rule-3 reconciliation 2026-04-29 (squeeze=TRUE + phase1=1; rule 3 retroactively applied; annotation-only — no class/corridor change)
PL,Poland,2.955,2,2,26,176.39,-812.51,0.65,0.746,4,H,M,H,FALSE,+1,0.686,0.745,0.5171,FALSE,0.7858,0.558,0.2278,net_positive,0.6165,2,2,1,2,3,3,3,3,II,,growth_baseline,3.718,3.809,
PT,Portugal,2.902,2,2,31.9,16.81,-86.4,0.6,0.307,4,H,M,M,FALSE,+1,0.4312,0.745,0.5078,FALSE,0.4245,0.808,-0.3835,net_negative_vulnerability_side,0.5836,2,2,1,2,3,3,3,3,II,,growth_baseline,2.082,1.885,
RO,Romania,2.462,2,2,28,146.03,-723.07,0.5,0.758,3,H,M,L,FALSE,0,0.5856,0.745,0.4308,FALSE,0.7337,0.592,0.1417,net_neutral,0.5713,2,2,1,2,2,3,3,3,II,,growth_baseline,3.382,3.703,
RS,Serbia,2.744,2,2,31.9,,,0.35,0.43,1,L,L,L,FALSE,0,0.5476,,0.4802,FALSE,,0.6,,data_gap,0.517,2,2,1,2,3,3,3,3,IV,"candidate_partial_coverage; poly=0.55,eea_vuln=0.60",growth_baseline,2.864,4.144,candidate-partial-coverage; demographic_load null; ai_load from L1 only; climate_shocks data gap
SE,Sweden,1.101,1,1,27.6,18.06,-6.92,0.75,0.673,4,H,H,H,TRUE,+1,0.5438,0.44,0.5506,TRUE,0.4656,0.375,0.0906,net_neutral,0.501,1,1,1,1,1,1,2,2,I,,post_growth_empirical,1.864,0.863,
SI,Slovenia,2.824,2,2,23.8,17.95,-26.87,0.45,0.256,1,H,M,H,FALSE,0,0.4828,0.64,0.4943,FALSE,0.4759,0.658,-0.1821,net_neutral,0.5491,2,2,1,2,3,3,3,3,II,,growth_baseline,2.945,2.596,
SK,Slovakia,2.887,2,2,21.6,28.81,-0.13,0.5,0.6,3,H,M,L,FALSE,0,0.5856,0.64,0.5053,FALSE,0.4684,0.55,-0.0816,net_neutral,0.5751,2,2,1,2,3,3,3,3,II,,growth_baseline,2.427,2.302,low_msc_salience_bucket
TR,Turkey,2.394,2,2,44.8,26.84,-1307.68,0.4,0.515,3,L,L,L,FALSE,0,0.666,,0.419,FALSE,0.1074,0.75,-0.6426,net_negative_capacity_side,0.6111,2,2,1,2,2,3,3,3,IV,"candidate_partial_coverage; poly=0.67,eea_vuln=0.75,gini=44.8",growth_baseline,4.873,3.558,candidate-partial-coverage; demographic_load null; ai_load from L1 only
UK,United Kingdom,3.397,3,3,32.4,,,0.55,0.318,3,L,L,L,FALSE,0,0.5004,0.3975,0.5436,FALSE,,0.508,,data_gap,0.4768,2,2,2,3,3,3,3,3,III,,post_growth_empirical,1.671,0.874,climate_shocks data gap
