multiplier_pair,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,nordic_class_I_count,class_I_total,class_II_total,class_III_total,class_IV_total
s4b0.10_s50.20,II,II,II,II,II,II,II,II,I,II,II,II,I,II,II,II,III,I,II,II,II,II,II,IV,II,II,I,II,II,II,IV,I,II,II,IV,III,5,5,26,2,3
s4b0.10_s50.30,II,II,II,II,II,II,II,II,I,II,II,II,I,II,II,II,III,I,II,II,II,II,II,IV,II,II,I,II,II,II,IV,I,II,II,IV,III,5,5,26,2,3
s4b0.10_s50.40,II,II,II,II,II,II,II,II,I,II,II,II,I,II,II,II,III,I,II,II,II,II,II,IV,II,II,I,II,II,II,IV,I,II,II,IV,III,5,5,26,2,3
s4b0.15_s50.20,II,II,II,II,II,II,II,II,I,II,II,II,I,II,II,II,III,I,II,II,II,II,II,IV,II,II,I,II,II,II,IV,I,II,II,IV,III,5,5,26,2,3
s4b0.15_s50.30,II,II,II,II,II,II,II,II,I,II,II,II,I,II,II,II,III,I,II,II,II,II,II,IV,II,II,I,II,II,II,IV,I,II,II,IV,III,5,5,26,2,3
s4b0.15_s50.40,II,II,II,II,II,II,II,II,I,II,II,II,I,II,II,II,III,I,II,II,II,II,II,IV,II,II,I,II,II,II,IV,I,II,II,IV,III,5,5,26,2,3
s4b0.20_s50.20,II,II,II,II,II,II,II,II,I,II,II,II,I,II,II,II,III,I,II,II,II,II,II,IV,II,II,I,II,II,II,IV,II,II,II,IV,III,4,4,27,2,3
s4b0.20_s50.30,II,II,II,II,II,II,II,II,I,II,II,II,I,II,II,II,III,I,II,II,II,II,II,IV,II,II,I,II,II,II,IV,II,II,II,IV,III,4,4,27,2,3
s4b0.20_s50.40,II,II,II,II,II,II,II,II,I,II,II,II,I,II,II,II,III,I,II,II,II,II,II,IV,II,II,I,II,II,II,IV,II,II,II,IV,III,4,4,27,2,3
